freelancer_id,name,skills,experience_years,hourly_rate,rating,jobs_completed,location,total_earnings,member_since,success_rate,on_time_delivery_rate
1,Freelancer_1,"UI/UX Design, Python",18,43,4.3,52,"Dublin, Ireland",6633,12-07-2022,91%,96%
2,Freelancer_2,C++,20,55,4.1,70,"Madrid, Spain",1551,17-08-2022,94%,95%
3,Freelancer_3,"CSS, Data Analysis, Digital Marketing",19,41,3.8,94,"New York, USA",2303,27-09-2021,85%,91%
4,Freelancer_4,"UI/UX Design, CSS, Node.js, C++",6,106,4.6,23,"San Francisco, USA",1306,10-05-2022,93%,98%
5,Freelancer_5,"SQL, Java, CSS",12,137,3.2,20,"Berlin, Germany",4821,18-05-2021,81%,97%
6,Freelancer_6,"Digital Marketing, UI/UX Design",5,40,3.9,14,"Toronto, Canada",2760,18-09-2022,84%,86%
7,Freelancer_7,C++,13,77,3.9,74,"Sydney, Australia",8482,04-01-2022,97%,90%
8,Freelancer_8,"UI/UX Design, Data Analysis",5,90,4.9,93,"San Francisco, USA",6814,29-02-2020,80%,99%
9,Freelancer_9,"HTML, Digital Marketing, Java, JavaScript",4,40,3.7,82,"New York, USA",7364,06-05-2023,85%,97%
10,Freelancer_10,"JavaScript, CSS, Java",11,79,4.2,25,"Vancouver, Canada",2130,27-03-2020,96%,86%
11,Freelancer_11,"Digital Marketing, JavaScript, Node.js, HTML",10,11,3.2,70,"Berlin, Germany",5535,03-07-2020,98%,97%
12,Freelancer_12,"C++, React, JavaScript",15,61,3.5,18,"Paris, France",1930,08-08-2020,92%,96%
13,Freelancer_13,"Digital Marketing, Java, CSS",1,23,4.7,61,"Toronto, Canada",5489,04-12-2022,83%,99%
14,Freelancer_14,"HTML, Java",15,31,4.8,100,"Mumbai, India",5676,14-06-2021,87%,96%
15,Freelancer_15,"Python, CSS",5,48,4.4,63,"Madrid, Spain",2981,14-05-2023,98%,99%
16,Freelancer_16,Java,11,97,4,85,"Sydney, Australia",9267,30-08-2021,91%,86%
17,Freelancer_17,"Java, Content Writing",3,11,3.8,100,"Vancouver, Canada",2617,10-01-2021,89%,89%
18,Freelancer_18,"Data Analysis, Digital Marketing",0,64,3.9,21,"Dublin, Ireland",1943,28-05-2021,98%,98%
19,Freelancer_19,Machine Learning,5,62,3.2,52,"Paris, France",2490,17-01-2020,81%,96%
20,Freelancer_20,"HTML, C++",12,59,3.9,2,"Mumbai, India",7093,19-06-2022,86%,90%
21,Freelancer_21,UI/UX Design,0,86,5,99,"San Francisco, USA",761,15-08-2021,88%,90%
22,Freelancer_22,"HTML, Node.js",11,104,4.3,47,"London, UK",9239,10-09-2020,95%,87%
23,Freelancer_23,"Digital Marketing, SQL",17,126,4.4,21,"New York, USA",860,24-11-2023,88%,85%
24,Freelancer_24,SQL,18,124,3.7,56,"Dublin, Ireland",6355,03-09-2022,97%,88%
25,Freelancer_25,"Machine Learning, JavaScript, React, UI/UX Design",8,118,3.7,95,"Amsterdam, Netherlands",7383,17-10-2023,95%,88%
26,Freelancer_26,"Data Analysis, SQL",8,137,4.2,29,"Mumbai, India",6403,20-10-2022,84%,93%
27,Freelancer_27,"HTML, CSS, Data Analysis, React",20,140,4.2,93,"San Francisco, USA",4694,27-04-2021,94%,100%
28,Freelancer_28,"Node.js, Content Writing",8,90,3.5,22,"London, UK",9821,21-10-2023,100%,94%
29,Freelancer_29,"Data Analysis, SQL, Digital Marketing, HTML",0,74,4.2,73,"Sydney, Australia",9223,15-03-2022,87%,91%
