employer_id,company_name,industry,preferred_skills,company_size,location,jobs_posted,total_spent,average_rating,hired_freelancers,member_since,project_completion_rate,on_time_payment_rate
E00001,Company_1,Tech,"React, Node.js",Large,Tokyo,53,200034,3.8,13,08-02-2015,88%,100%
E00002,Company_2,Tech,Project Management,Medium,Berlin,97,91183,3.8,18,08-04-2018,87%,91%
E00003,Company_3,Manufacturing,"React, Node.js",Large,Berlin,13,84978,4.2,39,23-09-2018,96%,99%
E00004,Company_4,Healthcare,Project Management,Small,Tokyo,95,397648,4.2,36,19-12-2022,100%,93%
E00005,Company_5,Retail,Project Management,Small,New York,43,312103,3.7,30,08-05-2021,91%,100%
E00006,Company_6,Healthcare,Data Analysis,Small,London,37,409944,3.6,46,08-10-2017,85%,100%
E00007,Company_7,Manufacturing,"Python, Java",Large,London,19,78826,4.2,31,16-02-2018,87%,90%
E00008,Company_8,Tech,Project Management,Small,London,83,340013,4.9,33,27-03-2022,91%,91%
E00009,Company_9,Tech,Data Analysis,Small,London,11,210321,4.1,20,04-03-2016,95%,97%
E00010,Company_10,Manufacturing,UI/UX Design,Medium,London,30,76034,4,20,16-12-2020,86%,100%
E00011,Company_11,Manufacturing,UI/UX Design,Large,London,10,182727,4.3,28,14-02-2016,82%,100%
E00012,Company_12,Tech,UI/UX Design,Small,Tokyo,49,49878,3.6,18,04-09-2017,90%,93%
E00013,Company_13,Manufacturing,UI/UX Design,Large,San Francisco,90,231462,3.8,27,27-11-2015,90%,90%
E00014,Company_14,Manufacturing,"React, Node.js",Large,London,62,308339,4.1,34,01-12-2020,83%,90%
E00015,Company_15,Manufacturing,Data Analysis,Small,New York,79,21277,4.4,38,14-11-2021,92%,97%
E00016,Company_16,Retail,UI/UX Design,Medium,London,93,190332,4.6,24,24-09-2021,80%,95%
E00017,Company_17,Finance,"React, Node.js",Small,San Francisco,70,206000,4.4,32,13-11-2018,94%,99%
E00018,Company_18,Finance,Data Analysis,Small,Berlin,42,278587,4.5,18,13-03-2019,80%,95%
E00019,Company_19,Tech,Project Management,Large,New York,27,119167,4.4,29,25-10-2022,99%,95%
E00020,Company_20,Manufacturing,Project Management,Medium,London,51,343216,4.3,50,31-07-2022,90%,99%
E00021,Company_21,Manufacturing,Project Management,Large,Berlin,23,155730,4.4,5,31-05-2016,86%,100%
E00022,Company_22,Tech,Project Management,Medium,New York,22,449511,5,3,07-07-2017,91%,96%
E00023,Company_23,Retail,Data Analysis,Large,Berlin,34,118971,4.7,15,24-10-2016,100%,97%
E00024,Company_24,Tech,Data Analysis,Medium,New York,80,395079,4.7,37,06-02-2019,86%,95%
E00025,Company_25,Retail,"React, Node.js",Large,San Francisco,22,344981,4,19,15-04-2019,83%,91%
E00026,Company_26,Retail,Project Management,Small,San Francisco,9,351652,3.7,3,23-08-2017,85%,99%
E00027,Company_27,Tech,"React, Node.js",Medium,London,53,73714,3.5,19,11-01-2022,90%,100%
E00028,Company_28,Tech,UI/UX Design,Small,London,65,242525,5,24,15-10-2020,99%,93%
E00029,Company_29,Finance,Data Analysis,Small,Tokyo,60,421179,4.1,12,03-12-2021,100%,99%
E00030,Company_30,Finance,"React, Node.js",Small,Tokyo,36,122280,3.5,44,06-01-2017,89%,93%
E00031,Company_31,Manufacturing,Data Analysis,Large,San Francisco,39,81767,4.4,39,27-05-2016,82%,98%
E00032,Company_32,Healthcare,Project Management,Medium,Tokyo,36,316910,3.6,41,10-04-2022,82%,95%
E00033,Company_33,Finance,"React, Node.js",Medium,New York,78,348343,4.3,12,13-03-2015,86%,92%
E00034,Company_34,Manufacturing,"React, Node.js",Medium,New York,12,105199,3.6,8,18-09-2017,81%,90%
E00035,Company_35,Healthcare,"Python, Java",Medium,New York,61,111828,4.6,50,29-04-2020,93%,94%
E00036,Company_36,Healthcare,UI/UX Design,Medium,Tokyo,30,325232,4.4,49,25-02-2020,83%,97%
E00037,Company_37,Retail,UI/UX Design,Medium,Berlin,86,496852,4.8,9,03-04-2015,88%,90%
E00038,Company_38,Retail,"React, Node.js",Large,London,80,334951,4.9,10,26-03-2015,92%,96%
E00039,Company_39,Manufacturing,UI/UX Design,Medium,Berlin,76,256344,3.9,46,14-01-2020,100%,91%
E00040,Company_40,Finance,"Python, Java",Large,London,36,488154,4.3,40,30-11-2018,90%,100%
E00041,Company_41,Retail,Project Management,Medium,New York,29,99987,4.8,39,23-05-2017,83%,96%
E00042,Company_42,Manufacturing,Data Analysis,Small,Berlin,87,74795,3.6,24,27-08-2020,88%,91%
E00043,Company_43,Finance,Project Management,Small,Berlin,72,12800,4.4,4,22-12-2019,90%,98%
E00044,Company_44,Healthcare,Data Analysis,Medium,San Francisco,50,123930,4.2,45,07-11-2015,84%,95%
E00045,Company_45,Retail,Project Management,Large,New York,24,37048,4.4,42,30-05-2017,90%,96%
E00046,Company_46,Finance,Project Management,Medium,San Francisco,92,285128,3.9,31,15-03-2021,98%,91%
E00047,Company_47,Healthcare,"React, Node.js",Medium,London,27,50159,4.8,48,24-05-2019,97%,90%
E00048,Company_48,Finance,"React, Node.js",Small,Tokyo,98,155377,4.8,33,02-11-2019,88%,93%
E00049,Company_49,Finance,UI/UX Design,Small,London,99,495454,4.4,26,23-11-2018,88%,94%
E00050,Company_50,Finance,Data Analysis,Large,New York,61,92684,4.4,44,12-09-2016,93%,93%
E00051,Company_51,Retail,Project Management,Small,Tokyo,40,344240,4.4,9,22-01-2021,99%,100%
E00052,Company_52,Healthcare,Data Analysis,Medium,San Francisco,33,344588,3.9,35,18-10-2018,91%,98%
E00053,Company_53,Tech,"React, Node.js",Large,Berlin,55,151751,4.2,42,11-12-2021,92%,95%
E00054,Company_54,Healthcare,"Python, Java",Medium,San Francisco,35,443004,4.1,44,21-06-2015,98%,90%
E00055,Company_55,Manufacturing,"React, Node.js",Small,London,56,361585,5,14,26-07-2015,86%,100%
E00056,Company_56,Finance,UI/UX Design,Medium,London,66,16822,4.1,27,03-12-2016,86%,100%
E00057,Company_57,Manufacturing,"React, Node.js",Large,London,18,91679,4.7,30,01-05-2019,97%,90%
E00058,Company_58,Manufacturing,Data Analysis,Large,Tokyo,34,442232,5,16,11-04-2015,82%,95%
E00059,Company_59,Finance,Data Analysis,Medium,Tokyo,43,223076,4.2,23,16-06-2022,88%,94%
E00060,Company_60,Finance,Project Management,Small,Tokyo,42,224165,3.9,30,09-09-2017,100%,100%
E00061,Company_61,Healthcare,Data Analysis,Small,New York,27,441279,4,3,20-09-2022,91%,95%
E00062,Company_62,Manufacturing,"React, Node.js",Medium,Tokyo,6,152304,4.3,26,13-11-2022,98%,99%
E00063,Company_63,Manufacturing,"React, Node.js",Large,New York,45,222059,4.3,40,14-05-2020,98%,92%
E00064,Company_64,Healthcare,"React, Node.js",Small,Tokyo,98,80737,3.7,4,04-07-2021,95%,97%
E00065,Company_65,Retail,"React, Node.js",Small,San Francisco,81,417305,4.8,35,29-04-2015,94%,97%
E00066,Company_66,Tech,Data Analysis,Small,Berlin,28,350522,4.3,13,07-08-2018,93%,92%
E00067,Company_67,Manufacturing,Data Analysis,Large,Berlin,72,85982,5,37,27-02-2016,97%,96%
E00068,Company_68,Manufacturing,"Python, Java",Large,London,82,177743,4.9,34,07-03-2021,86%,92%
E00069,Company_69,Finance,Data Analysis,Large,Tokyo,56,379473,3.7,8,29-10-2020,99%,96%
E00070,Company_70,Healthcare,Data Analysis,Medium,Berlin,31,148034,4.9,5,16-11-2022,96%,96%
E00071,Company_71,Finance,UI/UX Design,Small,New York,66,139809,3.6,3,06-12-2015,86%,93%
E00072,Company_72,Manufacturing,"React, Node.js",Small,Berlin,52,349066,4.6,37,08-01-2022,91%,100%
E00073,Company_73,Manufacturing,UI/UX Design,Medium,San Francisco,71,485473,4.8,22,31-07-2020,89%,93%
E00074,Company_74,Healthcare,"React, Node.js",Small,Berlin,24,301864,3.6,44,19-12-2015,91%,96%
E00075,Company_75,Healthcare,Project Management,Small,San Francisco,76,56646,4.2,19,27-11-2022,80%,98%
E00076,Company_76,Finance,Project Management,Small,Tokyo,65,354578,4.7,26,17-07-2017,95%,99%
E00077,Company_77,Manufacturing,Project Management,Small,San Francisco,44,303995,4,41,13-08-2017,87%,98%
E00078,Company_78,Finance,Project Management,Small,Berlin,41,196086,5,43,07-12-2018,94%,90%
E00079,Company_79,Finance,"React, Node.js",Large,New York,77,346466,3.6,43,13-05-2017,88%,96%
E00080,Company_80,Healthcare,UI/UX Design,Small,San Francisco,42,145693,4.3,8,23-09-2016,93%,98%
E00081,Company_81,Manufacturing,Project Management,Medium,New York,24,106112,4.7,6,14-06-2020,94%,94%
E00082,Company_82,Retail,Data Analysis,Medium,Berlin,95,293007,4.6,50,27-11-2018,81%,100%
E00083,Company_83,Tech,"React, Node.js",Medium,London,29,205008,3.9,48,19-08-2015,83%,91%
E00084,Company_84,Retail,Project Management,Small,San Francisco,63,263405,3.9,43,29-03-2017,93%,98%
E00085,Company_85,Tech,"React, Node.js",Large,New York,34,171413,4.1,15,27-03-2016,90%,94%
E00086,Company_86,Retail,UI/UX Design,Large,London,91,487714,4.8,21,10-01-2017,92%,97%
E00087,Company_87,Tech,Data Analysis,Medium,Tokyo,100,222952,3.7,26,26-07-2015,91%,100%
E00088,Company_88,Healthcare,"Python, Java",Medium,New York,58,107823,4.5,17,25-12-2017,94%,99%
E00089,Company_89,Retail,"React, Node.js",Small,Berlin,98,215206,3.7,14,02-05-2015,85%,95%
E00090,Company_90,Manufacturing,UI/UX Design,Large,San Francisco,14,204753,4.8,9,02-07-2019,94%,95%
E00091,Company_91,Healthcare,"React, Node.js",Large,Tokyo,8,498758,4.4,36,29-09-2016,86%,97%
E00092,Company_92,Retail,"React, Node.js",Large,San Francisco,43,31861,3.8,44,01-04-2017,89%,91%
E00093,Company_93,Manufacturing,"React, Node.js",Large,Berlin,68,491619,4.4,34,01-08-2018,84%,92%
E00094,Company_94,Healthcare,Project Management,Small,San Francisco,76,40814,4.3,24,16-05-2015,95%,94%
E00095,Company_95,Retail,"Python, Java",Small,London,57,400820,4.6,32,25-11-2018,86%,98%
E00096,Company_96,Tech,UI/UX Design,Medium,New York,89,388513,4.3,43,05-10-2017,86%,91%
E00097,Company_97,Healthcare,UI/UX Design,Small,San Francisco,73,14637,4.2,27,19-06-2021,82%,96%
E00098,Company_98,Manufacturing,"React, Node.js",Small,Berlin,74,61693,3.8,30,24-03-2017,94%,92%
E00099,Company_99,Finance,"Python, Java",Medium,Tokyo,52,398601,4.6,31,28-12-2018,88%,92%
E00100,Company_100,Retail,UI/UX Design,Small,San Francisco,8,373840,5,32,01-07-2018,82%,96%
E00101,Company_101,Tech,Project Management,Large,London,19,438025,4.5,9,19-12-2022,84%,93%
E00102,Company_102,Manufacturing,Project Management,Small,New York,74,90913,3.8,31,16-09-2018,96%,96%
E00103,Company_103,Healthcare,UI/UX Design,Large,Tokyo,43,295756,3.9,40,20-09-2020,91%,94%
E00104,Company_104,Tech,"React, Node.js",Medium,New York,7,465914,4.4,17,01-05-2022,86%,97%
E00105,Company_105,Healthcare,UI/UX Design,Medium,Tokyo,17,425689,4.5,36,04-06-2017,81%,91%
E00106,Company_106,Healthcare,Project Management,Medium,London,36,47071,4.8,38,13-07-2016,100%,94%
E00107,Company_107,Manufacturing,UI/UX Design,Small,London,12,84748,4.4,10,04-11-2017,83%,90%
E00108,Company_108,Retail,"React, Node.js",Small,San Francisco,90,148525,4.1,46,12-11-2019,81%,90%
E00109,Company_109,Tech,"Python, Java",Large,Tokyo,29,303654,4.1,26,11-03-2016,91%,97%
E00110,Company_110,Retail,"Python, Java",Small,San Francisco,66,316917,4.7,28,31-10-2022,92%,98%
E00111,Company_111,Retail,"React, Node.js",Large,Berlin,57,181312,4.9,33,03-02-2018,92%,95%
E00112,Company_112,Manufacturing,Data Analysis,Medium,New York,83,462142,4.2,10,17-10-2020,91%,92%
E00113,Company_113,Finance,Project Management,Small,San Francisco,66,478326,4.2,20,02-03-2022,99%,100%
E00114,Company_114,Finance,UI/UX Design,Large,London,77,280961,4.9,48,07-02-2022,90%,94%
E00115,Company_115,Finance,UI/UX Design,Large,San Francisco,94,321097,3.6,6,22-11-2019,98%,92%
E00116,Company_116,Tech,Data Analysis,Small,Tokyo,82,8505,3.9,27,31-08-2018,87%,100%
E00117,Company_117,Tech,UI/UX Design,Large,New York,22,59854,3.9,16,23-06-2015,82%,91%
E00118,Company_118,Retail,"React, Node.js",Large,Tokyo,42,401761,3.9,17,09-09-2015,92%,93%
E00119,Company_119,Manufacturing,"Python, Java",Medium,Tokyo,30,30790,4.7,17,04-12-2022,82%,90%
E00120,Company_120,Tech,Data Analysis,Large,Tokyo,8,402077,4.3,21,18-08-2019,100%,99%
E00121,Company_121,Healthcare,"Python, Java",Medium,Tokyo,13,8037,4.9,24,23-10-2021,99%,93%
